
2025-07-24 03:42:06,678 - Step 8280, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=2,847,744.28
2025-07-24 03:42:58,839 - Step 8340, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,559,242.41
2025-07-24 03:43:50,450 - Step 8400, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,205,204.87
2025-07-24 03:44:43,089 - Step 8460, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,020,806.50
2025-07-24 03:45:35,787 - Step 8520, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,370,433.95
2025-07-24 03:46:29,488 - Step 8580, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,568,557.10
2025-07-24 03:47:22,223 - Step 8640, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=17,453,838.10
2025-07-24 03:48:15,063 - Step 8700, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=16,910,842.55
2025-07-24 03:49:09,041 - Step 8760, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=14,055,316.40
2025-07-24 03:50:02,392 - Step 8820, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,977,874.95
2025-07-24 03:50:56,696 - Step 8880, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,194,314.81
2025-07-24 03:51:50,010 - Step 8940, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,188,929.04
2025-07-24 03:52:44,366 - Step 9000, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,413,921.76
2025-07-24 03:53:38,323 - Step 9060, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,610,025.39
2025-07-24 03:54:33,074 - Step 9120, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,833,638.32
2025-07-24 03:55:27,250 - Step 9180, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=17,101,622.23
2025-07-24 03:56:22,505 - Step 9240, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,164,794.38
2025-07-24 03:57:17,603 - Step 9300, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,390,231.51
2025-07-24 03:58:13,716 - Step 9360, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,079,938.91
2025-07-24 03:59:08,931 - Step 9420, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,101,298.83
2025-07-24 04:00:05,047 - Step 9480, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,158,429.55
2025-07-24 04:01:00,716 - Step 9540, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,529,558.46
2025-07-24 04:01:57,212 - Step 9600, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=14,419,398.58
2025-07-24 04:02:53,184 - Step 9660, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,073,230.49
2025-07-24 04:03:50,244 - Step 9720, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,901,677.44
2025-07-24 04:04:46,620 - Step 9780, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,943,948.63
2025-07-24 04:05:44,159 - Step 9840, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,755,606.45
2025-07-24 04:06:41,331 - Step 9900, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=16,912,966.67
